iter	Passed	Remaining
0	29	5833
1	41	4076
2	54	3565
3	66	3257
4	77	3035
5	89	2880
6	100	2774
7	110	2653
8	121	2585
9	133	2532
10	144	2486
11	155	2432
12	166	2391
13	177	2355
14	188	2320
15	200	2302
16	210	2271
17	222	2247
18	233	2227
19	245	2212
20	257	2194
21	268	2173
22	280	2161
23	292	2144
24	303	2127
25	315	2110
26	326	2094
27	339	2083
28	351	2070
29	363	2059
30	375	2046
31	387	2035
32	399	2019
33	410	2004
34	423	1997
35	435	1983
36	447	1971
37	459	1958
38	470	1943
39	483	1934
40	495	1922
41	507	1908
42	519	1898
43	532	1886
44	544	1874
45	555	1858
46	567	1846
47	579	1835
48	590	1821
49	603	1809
50	614	1795
51	626	1783
52	637	1769
53	649	1756
54	661	1744
55	673	1731
56	685	1719
57	696	1705
58	708	1693
59	720	1680
60	732	1668
61	744	1657
62	756	1645
63	768	1633
64	781	1622
65	793	1610
66	805	1599
67	817	1587
68	830	1576
69	841	1563
70	854	1552
71	865	1539
72	876	1525
73	888	1512
74	899	1499
75	911	1487
76	922	1473
77	934	1461
78	946	1449
79	957	1436
80	969	1424
81	981	1412
82	992	1399
83	1003	1386
84	1015	1373
85	1026	1361
86	1038	1348
87	1050	1336
88	1061	1324
89	1072	1311
90	1083	1298
91	1095	1285
92	1106	1273
93	1118	1260
94	1129	1248
95	1141	1236
96	1152	1223
97	1164	1211
98	1176	1200
99	1187	1187
100	1198	1175
101	1210	1162
102	1221	1150
103	1233	1138
104	1246	1127
105	1258	1115
106	1269	1103
107	1280	1090
108	1291	1078
109	1302	1066
110	1314	1054
111	1327	1042
112	1339	1031
113	1351	1019
114	1362	1006
115	1373	994
116	1384	982
117	1396	970
118	1408	958
119	1420	946
120	1432	935
121	1444	923
122	1455	911
123	1467	899
124	1479	887
125	1490	875
126	1503	864
127	1514	852
128	1526	840
129	1538	828
130	1549	816
131	1561	804
132	1572	792
133	1583	780
134	1594	767
135	1606	756
136	1618	744
137	1630	732
138	1641	720
139	1653	708
140	1665	696
141	1677	685
142	1688	673
143	1700	661
144	1713	649
145	1724	637
146	1736	626
147	1748	614
148	1761	602
149	1773	591
150	1785	579
151	1797	567
152	1809	555
153	1820	543
154	1832	531
155	1843	519
156	1854	507
157	1866	496
158	1877	484
159	1889	472
160	1901	460
161	1914	449
162	1925	437
163	1937	425
164	1948	413
165	1960	401
166	1972	389
167	1983	377
168	1995	365
169	2006	354
170	2017	342
171	2029	330
172	2041	318
173	2052	306
174	2063	294
175	2074	282
176	2085	271
177	2096	259
178	2107	247
179	2119	235
180	2130	223
181	2142	211
182	2153	200
183	2165	188
184	2176	176
185	2187	164
186	2200	152
187	2211	141
188	2222	129
189	2232	117
190	2245	105
191	2257	94
192	2269	82
193	2281	70
194	2293	58
195	2304	47
196	2315	35
197	2327	23
198	2338	11
199	2349	0
